class	slot	required	recommended
miscellaneous natural or artificial environment	elev	False	
miscellaneous natural or artificial environment	temp	False	
miscellaneous natural or artificial environment	geo_loc_name		
miscellaneous natural or artificial environment	collection_date		
miscellaneous natural or artificial environment	env_broad_scale		
miscellaneous natural or artificial environment	env_local_scale		
miscellaneous natural or artificial environment	env_medium		
miscellaneous natural or artificial environment	alkalinity	False	
miscellaneous natural or artificial environment	ammonium	False	
miscellaneous natural or artificial environment	biomass	False	
miscellaneous natural or artificial environment	bromide	False	
miscellaneous natural or artificial environment	calcium	False	
miscellaneous natural or artificial environment	chem_administration	False	
miscellaneous natural or artificial environment	chloride	False	
miscellaneous natural or artificial environment	chlorophyll	False	
miscellaneous natural or artificial environment	density	False	
miscellaneous natural or artificial environment	diether_lipids	False	
miscellaneous natural or artificial environment	diss_carb_dioxide	False	
miscellaneous natural or artificial environment	diss_hydrogen	False	
miscellaneous natural or artificial environment	diss_inorg_carb	False	
miscellaneous natural or artificial environment	diss_org_nitro	False	
miscellaneous natural or artificial environment	diss_oxygen	False	
miscellaneous natural or artificial environment	misc_param	False	
miscellaneous natural or artificial environment	nitrate	False	
miscellaneous natural or artificial environment	nitrite	False	
miscellaneous natural or artificial environment	nitro	False	
miscellaneous natural or artificial environment	org_carb	False	
miscellaneous natural or artificial environment	org_matter	False	
miscellaneous natural or artificial environment	org_nitro	False	
miscellaneous natural or artificial environment	organism_count	False	
miscellaneous natural or artificial environment	oxy_stat_samp	False	
miscellaneous natural or artificial environment	ph	False	
miscellaneous natural or artificial environment	perturbation	False	
miscellaneous natural or artificial environment	phosphate	False	
miscellaneous natural or artificial environment	phosplipid_fatt_acid	False	
miscellaneous natural or artificial environment	potassium	False	
miscellaneous natural or artificial environment	pressure	False	
miscellaneous natural or artificial environment	salinity	False	
miscellaneous natural or artificial environment	samp_store_dur	False	
miscellaneous natural or artificial environment	samp_store_loc	False	
miscellaneous natural or artificial environment	samp_store_temp	False	
miscellaneous natural or artificial environment	silicate	False	
miscellaneous natural or artificial environment	sodium	False	
miscellaneous natural or artificial environment	sulfate	False	
miscellaneous natural or artificial environment	sulfide	False	
miscellaneous natural or artificial environment	water_current	False	
microbial mat_biofilm	lat_lon		
microbial mat_biofilm	depth	False	
microbial mat_biofilm	alt		
microbial mat_biofilm	elev	False	
microbial mat_biofilm	temp	False	
microbial mat_biofilm	geo_loc_name		
microbial mat_biofilm	collection_date		
microbial mat_biofilm	env_broad_scale		
microbial mat_biofilm	env_local_scale		
microbial mat_biofilm	env_medium		
microbial mat_biofilm	alkalinity	False	
microbial mat_biofilm	alkyl_diethers	False	
microbial mat_biofilm	aminopept_act	False	
microbial mat_biofilm	ammonium	False	
microbial mat_biofilm	bacteria_carb_prod	False	
microbial mat_biofilm	biomass	False	
microbial mat_biofilm	bishomohopanol	False	
microbial mat_biofilm	bromide	False	
microbial mat_biofilm	calcium	False	
microbial mat_biofilm	carb_nitro_ratio	False	
microbial mat_biofilm	chem_administration	False	
microbial mat_biofilm	chloride	False	
microbial mat_biofilm	chlorophyll	False	
microbial mat_biofilm	diether_lipids	False	
microbial mat_biofilm	diss_carb_dioxide	False	
microbial mat_biofilm	diss_hydrogen	False	
microbial mat_biofilm	diss_inorg_carb	False	
microbial mat_biofilm	diss_org_carb	False	
microbial mat_biofilm	diss_org_nitro	False	
microbial mat_biofilm	diss_oxygen	False	
microbial mat_biofilm	glucosidase_act	False	
microbial mat_biofilm	magnesium	False	
microbial mat_biofilm	mean_frict_vel	False	
microbial mat_biofilm	mean_peak_frict_vel	False	
microbial mat_biofilm	methane	False	
microbial mat_biofilm	misc_param	False	
microbial mat_biofilm	n_alkanes	False	
microbial mat_biofilm	nitrate	False	
microbial mat_biofilm	nitrite	False	
microbial mat_biofilm	nitro	False	
microbial mat_biofilm	org_carb	False	
microbial mat_biofilm	org_matter	False	
microbial mat_biofilm	org_nitro	False	
microbial mat_biofilm	organism_count	False	
microbial mat_biofilm	oxy_stat_samp	False	
microbial mat_biofilm	ph	False	
microbial mat_biofilm	part_org_carb	False	
microbial mat_biofilm	perturbation	False	
microbial mat_biofilm	petroleum_hydrocarb	False	
microbial mat_biofilm	phaeopigments	False	
microbial mat_biofilm	phosphate	False	
microbial mat_biofilm	phosplipid_fatt_acid	False	
microbial mat_biofilm	potassium	False	
microbial mat_biofilm	pressure	False	
microbial mat_biofilm	redox_potential	False	
microbial mat_biofilm	salinity	False	
microbial mat_biofilm	samp_store_dur	False	
microbial mat_biofilm	samp_store_loc	False	
microbial mat_biofilm	samp_store_temp	False	
microbial mat_biofilm	silicate	False	
microbial mat_biofilm	sodium	False	
microbial mat_biofilm	sulfate	False	
microbial mat_biofilm	sulfide	False	
microbial mat_biofilm	tot_carb	False	
microbial mat_biofilm	tot_nitro_content	False	
microbial mat_biofilm	tot_org_carb	False	
microbial mat_biofilm	turbidity	False	
microbial mat_biofilm	water_content	False	
hydrocarbon resources-fluids_swabs	lat_lon		
hydrocarbon resources-fluids_swabs	depth		
hydrocarbon resources-fluids_swabs	alt		
hydrocarbon resources-fluids_swabs	elev		
hydrocarbon resources-fluids_swabs	temp	True	
hydrocarbon resources-fluids_swabs	geo_loc_name		
hydrocarbon resources-fluids_swabs	collection_date		
hydrocarbon resources-fluids_swabs	env_broad_scale		
hydrocarbon resources-fluids_swabs	env_local_scale		
hydrocarbon resources-fluids_swabs	env_medium		
hydrocarbon resources-fluids_swabs	hcr	True	
hydrocarbon resources-fluids_swabs	hc_produced	True	
hydrocarbon resources-fluids_swabs	basin	True	
hydrocarbon resources-fluids_swabs	field	False	
hydrocarbon resources-fluids_swabs	reservoir	False	
hydrocarbon resources-fluids_swabs	hcr_temp	False	
hydrocarbon resources-fluids_swabs	tvdss_of_hcr_temp	False	
hydrocarbon resources-fluids_swabs	hcr_pressure	False	
hydrocarbon resources-fluids_swabs	tvdss_of_hcr_press	False	
hydrocarbon resources-fluids_swabs	lithology	False	
hydrocarbon resources-fluids_swabs	depos_env	False	
hydrocarbon resources-fluids_swabs	hcr_geol_age	False	
hydrocarbon resources-fluids_swabs	hcr_fw_salinity	False	
hydrocarbon resources-fluids_swabs	sulfate_fw	False	
hydrocarbon resources-fluids_swabs	vfa_fw	False	
hydrocarbon resources-fluids_swabs	prod_start_date	False	
hydrocarbon resources-fluids_swabs	prod_rate	False	
hydrocarbon resources-fluids_swabs	water_prod_rate	False	
hydrocarbon resources-fluids_swabs	water_cut	True	
hydrocarbon resources-fluids_swabs	iwf	True	
hydrocarbon resources-fluids_swabs	add_recov_method	True	
hydrocarbon resources-fluids_swabs	iw_bt_date_well	False	
hydrocarbon resources-fluids_swabs	biocide	False	
hydrocarbon resources-fluids_swabs	biocide_admin_method	False	
hydrocarbon resources-fluids_swabs	chem_treatment	False	
hydrocarbon resources-fluids_swabs	chem_treat_method	False	
hydrocarbon resources-fluids_swabs	samp_loc_corr_rate	False	
hydrocarbon resources-fluids_swabs	samp_well_name	False	
hydrocarbon resources-fluids_swabs	win	False	
hydrocarbon resources-fluids_swabs	samp_type	True	
hydrocarbon resources-fluids_swabs	samp_subtype	False	
hydrocarbon resources-fluids_swabs	samp_collect_point	True	
hydrocarbon resources-fluids_swabs	pressure	False	
hydrocarbon resources-fluids_swabs	oxy_stat_samp	False	
hydrocarbon resources-fluids_swabs	samp_preserv	False	
hydrocarbon resources-fluids_swabs	samp_transport_cond	False	
hydrocarbon resources-fluids_swabs	samp_store_temp	False	
hydrocarbon resources-fluids_swabs	samp_store_dur	False	
hydrocarbon resources-fluids_swabs	samp_store_loc	False	
hydrocarbon resources-fluids_swabs	organism_count	False	
hydrocarbon resources-fluids_swabs	org_count_qpcr_info	False	
hydrocarbon resources-fluids_swabs	ph	False	
hydrocarbon resources-fluids_swabs	samp_salinity	True	
hydrocarbon resources-fluids_swabs	salinity	False	
hydrocarbon resources-fluids_swabs	alkalinity	False	
hydrocarbon resources-fluids_swabs	alkalinity_method	False	
hydrocarbon resources-fluids_swabs	sulfate	True	
hydrocarbon resources-fluids_swabs	sulfide	True	
hydrocarbon resources-fluids_swabs	tot_sulfur	False	
hydrocarbon resources-fluids_swabs	nitrate	True	
hydrocarbon resources-fluids_swabs	nitrite	False	
hydrocarbon resources-fluids_swabs	ammonium	False	
hydrocarbon resources-fluids_swabs	tot_nitro	False	
hydrocarbon resources-fluids_swabs	diss_iron	False	
hydrocarbon resources-fluids_swabs	sodium	False	
hydrocarbon resources-fluids_swabs	chloride	False	
hydrocarbon resources-fluids_swabs	potassium	False	
hydrocarbon resources-fluids_swabs	magnesium	False	
hydrocarbon resources-fluids_swabs	calcium	False	
hydrocarbon resources-fluids_swabs	tot_iron	False	
hydrocarbon resources-fluids_swabs	diss_org_carb	False	
hydrocarbon resources-fluids_swabs	diss_inorg_carb	False	
hydrocarbon resources-fluids_swabs	diss_inorg_phosp	False	
hydrocarbon resources-fluids_swabs	tot_phosp	False	
hydrocarbon resources-fluids_swabs	suspend_solids	False	
hydrocarbon resources-fluids_swabs	density	False	
hydrocarbon resources-fluids_swabs	diss_carb_dioxide	False	
hydrocarbon resources-fluids_swabs	diss_oxygen_fluid	False	
hydrocarbon resources-fluids_swabs	vfa	False	
hydrocarbon resources-fluids_swabs	benzene	False	
hydrocarbon resources-fluids_swabs	toluene	False	
hydrocarbon resources-fluids_swabs	ethylbenzene	False	
hydrocarbon resources-fluids_swabs	xylene	False	
hydrocarbon resources-fluids_swabs	api	True	
hydrocarbon resources-fluids_swabs	tan	False	
hydrocarbon resources-fluids_swabs	viscosity	False	
hydrocarbon resources-fluids_swabs	pour_point	False	
hydrocarbon resources-fluids_swabs	saturates_pc	False	
hydrocarbon resources-fluids_swabs	aromatics_pc	False	
hydrocarbon resources-fluids_swabs	resins_pc	False	
hydrocarbon resources-fluids_swabs	asphaltenes_pc	False	
hydrocarbon resources-fluids_swabs	misc_param	False	
hydrocarbon resources-fluids_swabs	additional_info	False	
hydrocarbon resources-cores	lat_lon		
hydrocarbon resources-cores	depth		
hydrocarbon resources-cores	alt		
hydrocarbon resources-cores	elev	False	
hydrocarbon resources-cores	temp	True	
hydrocarbon resources-cores	geo_loc_name		
hydrocarbon resources-cores	collection_date		
hydrocarbon resources-cores	env_broad_scale		
hydrocarbon resources-cores	env_local_scale		
hydrocarbon resources-cores	env_medium		
hydrocarbon resources-cores	hcr	True	
hydrocarbon resources-cores	hc_produced	True	
hydrocarbon resources-cores	basin	True	
hydrocarbon resources-cores	field	False	
hydrocarbon resources-cores	reservoir	False	
hydrocarbon resources-cores	hcr_temp	True	
hydrocarbon resources-cores	tvdss_of_hcr_temp	False	
hydrocarbon resources-cores	hcr_pressure	False	
hydrocarbon resources-cores	tvdss_of_hcr_press	False	
hydrocarbon resources-cores	permeability	False	
hydrocarbon resources-cores	porosity	False	
hydrocarbon resources-cores	lithology	False	
hydrocarbon resources-cores	depos_env	False	
hydrocarbon resources-cores	hcr_geol_age	False	
hydrocarbon resources-cores	owc_tvdss	False	
hydrocarbon resources-cores	hcr_fw_salinity	False	
hydrocarbon resources-cores	sulfate_fw	True	
hydrocarbon resources-cores	vfa_fw	True	
hydrocarbon resources-cores	sr_kerog_type	False	
hydrocarbon resources-cores	sr_lithology	False	
hydrocarbon resources-cores	sr_dep_env	False	
hydrocarbon resources-cores	sr_geol_age	False	
hydrocarbon resources-cores	samp_well_name	False	
hydrocarbon resources-cores	win	False	
hydrocarbon resources-cores	samp_type	True	
hydrocarbon resources-cores	samp_subtype	False	
hydrocarbon resources-cores	pressure	False	
hydrocarbon resources-cores	samp_tvdss	False	
hydrocarbon resources-cores	samp_md	False	
hydrocarbon resources-cores	oxy_stat_samp	False	
hydrocarbon resources-cores	samp_transport_cond	False	
hydrocarbon resources-cores	samp_store_temp	False	
hydrocarbon resources-cores	samp_store_dur	False	
hydrocarbon resources-cores	samp_store_loc	False	
hydrocarbon resources-cores	organism_count	False	
hydrocarbon resources-cores	org_count_qpcr_info	False	
hydrocarbon resources-cores	ph	False	
hydrocarbon resources-cores	samp_salinity	True	
hydrocarbon resources-cores	salinity	False	
hydrocarbon resources-cores	alkalinity	False	
hydrocarbon resources-cores	alkalinity_method	False	
hydrocarbon resources-cores	sulfate	False	
hydrocarbon resources-cores	sulfide	False	
hydrocarbon resources-cores	tot_sulfur	False	
hydrocarbon resources-cores	nitrate	False	
hydrocarbon resources-cores	nitrite	False	
hydrocarbon resources-cores	ammonium	False	
hydrocarbon resources-cores	tot_nitro	False	
hydrocarbon resources-cores	diss_iron	False	
hydrocarbon resources-cores	sodium	False	
hydrocarbon resources-cores	chloride	False	
hydrocarbon resources-cores	potassium	False	
hydrocarbon resources-cores	magnesium	False	
hydrocarbon resources-cores	calcium	False	
hydrocarbon resources-cores	tot_iron	False	
hydrocarbon resources-cores	diss_org_carb	False	
hydrocarbon resources-cores	diss_inorg_carb	False	
hydrocarbon resources-cores	diss_inorg_phosp	False	
hydrocarbon resources-cores	tot_phosp	False	
hydrocarbon resources-cores	suspend_solids	False	
hydrocarbon resources-cores	density	False	
hydrocarbon resources-cores	diss_carb_dioxide	False	
hydrocarbon resources-cores	diss_oxygen_fluid	False	
hydrocarbon resources-cores	vfa	False	
hydrocarbon resources-cores	benzene	False	
hydrocarbon resources-cores	toluene	False	
hydrocarbon resources-cores	ethylbenzene	False	
hydrocarbon resources-cores	xylene	False	
hydrocarbon resources-cores	api	True	
hydrocarbon resources-cores	tan	False	
hydrocarbon resources-cores	viscosity	False	
hydrocarbon resources-cores	pour_point	False	
hydrocarbon resources-cores	saturates_pc	False	
hydrocarbon resources-cores	aromatics_pc	False	
hydrocarbon resources-cores	resins_pc	False	
hydrocarbon resources-cores	asphaltenes_pc	False	
hydrocarbon resources-cores	misc_param	False	
hydrocarbon resources-cores	additional_info	False	
human-vaginal	lat_lon		
human-vaginal	depth		
human-vaginal	alt		
human-vaginal	elev		
human-vaginal	temp	False	
human-vaginal	geo_loc_name		
human-vaginal	collection_date		
human-vaginal	env_broad_scale		
human-vaginal	env_local_scale		
human-vaginal	env_medium		
human-vaginal	menarche	False	
human-vaginal	sexual_act	False	
human-vaginal	pregnancy	False	
human-vaginal	douche	False	
human-vaginal	birth_control	False	
human-vaginal	menopause	False	
human-vaginal	hrt	False	
human-vaginal	hysterectomy	False	
human-vaginal	gynecologic_disord	False	
human-vaginal	urogenit_disord	False	
human-vaginal	host_subject_id	False	
human-vaginal	host_age	False	
human-vaginal	host_sex	False	
human-vaginal	ihmc_medication_code	False	
human-vaginal	chem_administration	False	
human-vaginal	host_body_site	False	
human-vaginal	host_body_product	False	
human-vaginal	host_tot_mass	False	
human-vaginal	host_height	False	
human-vaginal	host_diet	False	
human-vaginal	host_last_meal	False	
human-vaginal	host_family_relation	False	
human-vaginal	host_genotype	False	
human-vaginal	host_phenotype	False	
human-vaginal	host_body_temp	False	
human-vaginal	host_body_mass_index	False	
human-vaginal	ethnicity	False	
human-vaginal	host_occupation	False	
human-vaginal	medic_hist_perform	False	
human-vaginal	host_pulse	False	
human-vaginal	perturbation	False	
human-vaginal	samp_salinity	False	
human-vaginal	salinity	False	
human-vaginal	oxy_stat_samp	False	
human-vaginal	organism_count	False	
human-vaginal	samp_store_temp	False	
human-vaginal	samp_store_loc	False	
human-vaginal	samp_store_dur	False	
human-vaginal	host_symbiont	False	
human-vaginal	misc_param	False	
human-skin	lat_lon		
human-skin	depth		
human-skin	alt		
human-skin	elev		
human-skin	temp	False	
human-skin	geo_loc_name		
human-skin	collection_date		
human-skin	env_broad_scale		
human-skin	env_local_scale		
human-skin	env_medium		
human-skin	dermatology_disord	False	
human-skin	time_since_last_wash	False	
human-skin	dominant_hand	False	
human-skin	host_subject_id	False	
human-skin	host_age	False	
human-skin	host_sex	False	
human-skin	ihmc_medication_code	False	
human-skin	chem_administration	False	
human-skin	host_body_site	False	
human-skin	host_body_product	False	
human-skin	host_tot_mass	False	
human-skin	host_height	False	
human-skin	host_diet	False	
human-skin	host_last_meal	False	
human-skin	host_family_relation	False	
human-skin	host_genotype	False	
human-skin	host_phenotype	False	
human-skin	host_body_temp	False	
human-skin	host_body_mass_index	False	
human-skin	ethnicity	False	
human-skin	host_occupation	False	
human-skin	medic_hist_perform	False	
human-skin	host_pulse	False	
human-skin	perturbation	False	
human-skin	samp_salinity	False	
human-skin	salinity	False	
human-skin	oxy_stat_samp	False	
human-skin	organism_count	False	
human-skin	samp_store_temp	False	
human-skin	samp_store_dur	False	
human-skin	samp_store_loc	False	
human-skin	host_symbiont	False	
human-skin	misc_param	False	
human-oral	lat_lon		
human-oral	depth		
human-oral	alt		
human-oral	elev		
human-oral	temp	False	
human-oral	geo_loc_name		
human-oral	collection_date		
human-oral	env_broad_scale		
human-oral	env_local_scale		
human-oral	env_medium		
human-oral	nose_throat_disord	False	
human-oral	time_last_toothbrush	False	
human-oral	host_subject_id	False	
human-oral	host_age	False	
human-oral	host_sex	False	
human-oral	ihmc_medication_code	False	
human-oral	chem_administration	False	
human-oral	host_body_site	False	
human-oral	host_body_product	False	
human-oral	host_tot_mass	False	
human-oral	host_height	False	
human-oral	host_diet	False	
human-oral	host_last_meal	False	
human-oral	host_family_relation	False	
human-oral	host_genotype	False	
human-oral	host_phenotype	False	
human-oral	host_body_temp	False	
human-oral	host_body_mass_index	False	
human-oral	ethnicity	False	
human-oral	host_occupation	False	
human-oral	medic_hist_perform	False	
human-oral	host_pulse	False	
human-oral	perturbation	False	
human-oral	samp_salinity	False	
human-oral	salinity	False	
human-oral	oxy_stat_samp	False	
human-oral	organism_count	False	
human-oral	samp_store_temp	False	
human-oral	samp_store_dur	False	
human-oral	host_symbiont	False	
human-oral	samp_store_loc	False	
human-oral	misc_param	False	
human-gut	lat_lon		
human-gut	depth		
human-gut	alt		
human-gut	elev		
human-gut	temp	False	
human-gut	geo_loc_name		
human-gut	collection_date		
human-gut	env_broad_scale		
human-gut	env_local_scale		
